Date,Open,High,Low,Close,Volume
07/08/2017,157.06,158.92,156.67,158.81,21870321
08/11/2017,174.66,176.24,174.33,176.24,24409527
28/03/2018,167.25,170.02,165.19,166.48,41668545
29/03/2018,167.81,171.75,166.9,167.78,38398505
02/04/2018,167.88,168.94,164.47,166.68,37586791
03/04/2018,167.64,168.75,164.88,168.39,30278046
04/04/2018,164.88,172.01,164.77,171.61,34605489
05/04/2018,172.58,174.23,172.08,172.8,26933197
06/04/2018,170.97,172.48,168.2,168.38,35005290
09/04/2018,169.88,173.09,169.85,170.05,29017718
10/04/2018,173.0,174.0,171.53,173.25,28614241
11/04/2018,172.23,173.92,171.7,172.44,22431640
12/04/2018,173.41,175.0,173.04,174.14,22889285
13/04/2018,174.78,175.84,173.85,174.73,25124255
16/04/2018,175.03,176.19,174.83,175.82,21578420
17/04/2018,176.49,178.94,176.41,178.24,26605442
18/04/2018,177.81,178.82,176.88,177.84,20754538
19/04/2018,174.95,175.39,172.66,172.8,34808800
20/04/2018,170.6,171.22,165.43,165.72,65491140
23/04/2018,166.84,166.92,164.09,165.24,36515477
24/04/2018,165.67,166.33,161.22,162.94,33692017
25/04/2018,162.62,165.42,162.41,163.65,28382084
26/04/2018,164.12,165.73,163.37,164.22,27963014
27/04/2018,164.0,164.33,160.63,162.32,35655839
30/04/2018,162.13,167.26,161.84,165.26,42427424
01/05/2018,166.41,169.2,165.27,169.1,53569376
02/05/2018,175.23,177.75,173.8,176.57,66539371
03/05/2018,175.88,177.5,174.44,176.89,34068180
04/05/2018,178.25,184.25,178.17,183.83,56201317
07/05/2018,185.18,187.67,184.75,185.16,42451423
08/05/2018,184.99,186.22,183.67,186.05,28402777
09/05/2018,186.55,187.4,185.22,187.36,23211241
10/05/2018,187.74,190.37,187.65,190.04,27989289
11/05/2018,189.49,190.06,187.45,188.59,26212221
14/05/2018,189.01,189.53,187.86,188.15,20778772
15/05/2018,186.78,187.07,185.1,186.44,23695159
16/05/2018,186.07,188.46,186.0,188.18,19183064
17/05/2018,188.0,188.91,186.36,186.99,17294029
18/05/2018,187.19,187.81,186.13,186.31,18297728
21/05/2018,188.0,189.27,186.91,187.63,18400787
22/05/2018,188.38,188.88,186.78,187.16,15240704
23/05/2018,186.35,188.5,185.76,188.36,20058415
24/05/2018,188.77,188.84,186.21,188.15,23233975
25/05/2018,188.23,189.65,187.65,188.58,17460963
29/05/2018,187.6,188.75,186.87,187.9,22514075
30/05/2018,187.72,188.0,186.78,187.5,18690547
31/05/2018,187.22,188.23,186.14,186.87,27482793
01/06/2018,187.99,190.26,187.75,190.24,23442510
04/06/2018,191.64,193.42,191.35,191.83,26266174
05/06/2018,193.07,193.94,192.36,193.31,21565963
06/06/2018,193.63,194.08,191.92,193.98,20933619
07/06/2018,194.14,194.2,192.34,193.46,21347180
08/06/2018,191.17,192.0,189.77,191.7,26656799
11/06/2018,191.35,191.97,190.21,191.23,18308460
12/06/2018,191.39,192.61,191.15,192.28,16911141
13/06/2018,192.42,192.88,190.44,190.7,21638393
14/06/2018,191.55,191.57,190.22,190.8,21610074
15/06/2018,190.03,190.16,188.26,188.84,61719160
18/06/2018,187.88,189.22,187.2,188.74,18484865
19/06/2018,185.14,186.33,183.45,185.69,33578455
20/06/2018,186.35,187.2,185.73,186.5,20628701
21/06/2018,187.25,188.35,184.94,185.46,25711898
22/06/2018,186.12,186.15,184.7,184.92,27200447
25/06/2018,183.4,184.92,180.73,182.17,31663096
26/06/2018,182.99,186.53,182.54,184.43,24569201
27/06/2018,185.23,187.28,184.03,184.16,25285328
28/06/2018,184.1,186.21,183.8,185.5,17365235
29/06/2018,186.29,187.19,182.91,185.11,22737666
02/07/2018,183.82,187.3,183.42,187.18,17731343
03/07/2018,187.79,187.95,183.54,183.92,13954806
05/07/2018,185.26,186.41,184.28,185.4,16604248
06/07/2018,185.42,188.43,185.2,187.97,17485245
09/07/2018,189.5,190.68,189.3,190.58,19756634
10/07/2018,190.71,191.28,190.18,190.35,15939149
11/07/2018,188.5,189.78,187.61,187.88,18831470
12/07/2018,189.53,191.41,189.31,191.03,18041131
13/07/2018,191.08,191.84,190.9,191.33,12519792
16/07/2018,191.52,192.65,190.42,190.91,15043110
17/07/2018,189.75,191.87,189.2,191.45,15534523
18/07/2018,191.78,191.8,189.93,190.4,16393381
19/07/2018,189.69,192.55,189.69,191.88,20286752
20/07/2018,191.78,192.43,190.17,191.44,20706042
23/07/2018,190.68,191.96,189.56,191.61,15989365
24/07/2018,192.45,193.66,192.05,193.0,18697898
25/07/2018,193.06,194.85,192.43,194.82,16826483
26/07/2018,194.61,195.96,193.61,194.21,19075964
27/07/2018,194.99,195.19,190.1,190.98,24023972
30/07/2018,191.9,192.2,189.07,189.91,21029535
31/07/2018,190.3,192.14,189.34,190.29,39373038
01/08/2018,199.13,201.76,197.31,201.5,67935716
02/08/2018,200.58,208.38,200.35,207.39,62404012
03/08/2018,207.03,208.74,205.48,207.99,33447396
06/08/2018,208.0,209.25,207.07,209.07,25425387
07/08/2018,209.32,209.5,206.76,207.11,25587387
08/08/2018,206.05,207.81,204.52,207.25,22525487
09/08/2018,207.28,209.78,207.2,208.88,23492626
10/08/2018,207.36,209.1,206.67,207.53,24611202
13/08/2018,207.7,210.95,207.7,208.87,25890880
14/08/2018,210.16,210.56,208.26,209.75,20748010
15/08/2018,209.22,210.74,208.33,210.24,28807564
16/08/2018,211.75,213.81,211.47,213.32,28500367
17/08/2018,213.44,217.95,213.16,217.58,35426997
20/08/2018,218.1,219.18,215.11,215.46,30287695
21/08/2018,216.8,217.19,214.03,215.04,26159755
22/08/2018,214.1,216.36,213.84,215.05,19018131
23/08/2018,214.65,217.05,214.6,215.49,18883224
24/08/2018,216.6,216.9,215.11,216.16,18476356
27/08/2018,217.15,218.74,216.33,217.94,20525117
28/08/2018,219.01,220.54,218.92,219.7,22776766
29/08/2018,220.15,223.49,219.41,222.98,27254804
30/08/2018,223.25,228.26,222.4,225.03,48793824
31/08/2018,226.51,228.87,226.0,227.63,43340134
04/09/2018,228.41,229.18,226.63,228.36,27390132
05/09/2018,228.99,229.67,225.1,226.87,33332960
06/09/2018,226.23,227.35,221.3,223.1,34289976
07/09/2018,221.85,225.37,220.71,221.3,37619810
10/09/2018,220.95,221.85,216.47,218.33,39516453
11/09/2018,218.01,224.3,216.56,223.85,35749049
12/09/2018,224.94,225.0,219.84,221.07,49278740
13/09/2018,223.52,228.35,222.57,226.41,41706377
14/09/2018,225.75,226.84,222.52,223.84,31999289
17/09/2018,222.15,222.95,217.27,217.88,37195133
18/09/2018,217.79,221.85,217.12,218.24,31571712
19/09/2018,218.5,219.62,215.3,218.37,27123833
20/09/2018,220.24,222.28,219.15,220.03,26608794
21/09/2018,220.78,221.36,217.29,217.66,96246748
24/09/2018,216.82,221.26,216.63,220.79,27693358
25/09/2018,219.75,222.82,219.7,222.19,24554379
26/09/2018,221.0,223.75,219.76,220.42,23984706
27/09/2018,223.82,226.44,223.54,224.95,30181227
28/09/2018,224.79,225.84,224.02,225.74,22929364
01/10/2018,227.95,229.42,226.35,227.26,23600802
02/10/2018,227.25,230.0,226.63,229.28,24788170
03/10/2018,230.05,233.47,229.78,232.07,28654799
04/10/2018,230.78,232.35,226.73,227.99,32042000
05/10/2018,227.96,228.41,220.58,224.29,33580463
08/10/2018,222.21,224.8,220.2,223.77,29663923
09/10/2018,223.64,227.27,222.25,226.87,26891029
10/10/2018,225.46,226.35,216.05,216.36,41990554
11/10/2018,214.52,219.5,212.32,214.45,53124392
12/10/2018,220.42,222.88,216.84,222.11,40337851
15/10/2018,221.16,221.83,217.27,217.36,30791007
16/10/2018,218.93,222.99,216.76,222.15,29183963
17/10/2018,222.3,222.64,219.34,221.19,22885397
18/10/2018,217.86,219.74,213.0,216.02,32581315
19/10/2018,218.06,221.26,217.43,219.31,33078726
22/10/2018,219.79,223.36,218.94,220.65,28792082
23/10/2018,215.83,223.25,214.7,222.73,38767846
24/10/2018,222.6,224.23,214.54,215.09,40925163
25/10/2018,217.71,221.38,216.75,219.8,29855768
26/10/2018,215.9,220.19,212.67,216.3,47258375
29/10/2018,219.19,219.69,206.09,212.24,45935520
30/10/2018,211.15,215.18,209.27,213.3,36659990
31/10/2018,216.88,220.45,216.62,218.86,38358933
01/11/2018,219.05,222.36,216.81,222.22,58323180
02/11/2018,209.55,213.65,205.43,207.48,91328654
05/11/2018,204.3,204.39,198.17,201.59,66163669
06/11/2018,201.92,204.72,201.69,203.77,31882881
07/11/2018,205.97,210.06,204.13,209.95,33424434
08/11/2018,209.98,210.12,206.75,208.49,25362636
09/11/2018,205.55,206.01,202.25,204.47,34365750
12/11/2018,199.0,199.85,193.79,194.17,51135518
13/11/2018,191.63,197.18,191.45,192.23,46882936
14/11/2018,193.9,194.48,185.93,186.8,60800957
15/11/2018,188.39,191.97,186.9,191.41,46478801
16/11/2018,190.5,194.97,189.46,193.53,36928253
19/11/2018,190.0,190.7,184.99,185.86,41920872
20/11/2018,178.37,181.47,175.51,176.98,67825247
21/11/2018,179.73,180.27,176.55,176.78,31124210
23/11/2018,174.94,176.6,172.1,172.29,23623972
26/11/2018,174.24,174.95,170.26,174.62,44998520
27/11/2018,171.51,174.77,170.88,174.24,41387377
28/11/2018,176.73,181.29,174.93,180.94,46062539
29/11/2018,182.66,182.8,177.7,179.55,41769992
30/11/2018,180.29,180.33,177.03,178.58,39531549
03/12/2018,184.46,184.94,181.21,184.82,40798002
04/12/2018,180.95,182.39,176.27,176.69,41344282
06/12/2018,171.76,174.78,170.42,174.72,43098410
07/12/2018,173.49,174.49,168.3,168.49,42281631
10/12/2018,165.0,170.09,163.33,169.6,62025994
11/12/2018,171.66,171.79,167.0,168.63,47281665
12/12/2018,170.4,171.92,169.02,169.1,35627674
13/12/2018,170.49,172.57,169.55,170.95,31897827
14/12/2018,169.0,169.08,165.28,165.48,40703710
17/12/2018,165.45,168.35,162.73,163.94,44287922
18/12/2018,165.38,167.53,164.39,166.07,33841518
19/12/2018,166.0,167.45,159.09,160.89,49047297
20/12/2018,160.4,162.11,155.3,156.83,64772960
21/12/2018,156.86,158.16,149.63,150.73,95744384
24/12/2018,148.15,151.55,146.59,146.83,37169232
26/12/2018,148.3,157.23,146.72,157.17,58582544
27/12/2018,155.84,156.77,150.07,156.15,53117065
28/12/2018,157.5,158.52,154.55,156.23,42291424
31/12/2018,158.53,159.36,156.48,157.74,35003466
02/01/2019,154.89,158.85,154.23,157.92,37039737
03/01/2019,143.98,145.72,142.0,142.19,91312195
04/01/2019,144.53,148.55,143.8,148.26,58607070
